loop,cel,x,y,w,h
5,4,0,0,20,16
4,5,0,16,20,16
5,0,20,0,20,16
5,1,20,16,20,16
5,2,0,32,20,16
5,3,20,32,20,16
4,3,40,0,20,16
4,2,40,16,20,16
1,6,40,32,20,16
3,1,0,48,20,16
4,4,20,48,20,16
4,1,40,48,20,16
1,0,60,16,20,16
0,7,60,32,20,16
0,6,60,0,20,16
0,5,60,48,20,16
0,4,20,64,20,16
0,3,40,64,20,16
0,2,0,64,20,16
0,1,60,64,20,16
1,2,40,80,20,16
2,8,0,80,20,16
6,4,80,0,5,16
6,5,20,80,5,16
6,6,25,80,1,16
6,0,26,80,2,1
6,1,80,64,2,1
6,2,60,80,2,1
6,3,80,32,2,1
4,0,80,48,2,1
3,9,80,16,2,1
3,8,28,80,2,1
3,7,30,80,2,1
3,0,32,80,2,1
3,5,34,80,2,1
1,1,36,80,2,1
1,3,38,80,2,1
1,4,80,33,2,1
1,5,80,49,2,1
2,0,80,17,2,1
2,1,80,65,2,1
2,2,80,34,2,1
2,3,62,80,2,1
2,4,80,50,2,1
2,5,80,35,2,1
2,6,80,36,2,1
2,7,80,37,2,1
2,9,80,38,2,1
2,10,80,39,2,1
3,2,80,40,2,1
3,3,80,41,2,1
3,4,80,42,2,1
3,6,80,43,2,1
0,0,80,44,2,1
