loop,cel,x,y,w,h
5,8,0,0,116,46
2,5,0,46,116,46
5,1,0,92,115,38
5,4,115,92,115,38
2,4,116,0,116,37
5,2,116,46,115,37
5,10,115,130,116,36
5,6,115,166,116,33
2,3,115,199,116,33
2,2,230,92,116,32
5,7,231,46,116,32
5,0,0,130,115,25
2,1,231,166,116,24
5,9,231,199,116,24
5,5,0,155,115,21
2,0,0,176,115,21
0,8,0,197,113,17
0,12,0,214,113,17
0,13,0,231,113,17
0,14,231,223,113,17
0,7,231,130,115,16
3,8,231,146,113,16
3,13,232,0,113,15
3,12,115,232,113,15
3,14,232,15,113,15
1,0,231,78,113,12
5,3,116,37,115,9
3,2,231,240,59,17
3,9,115,247,57,17
3,11,172,247,57,17
3,10,0,248,57,17
3,1,57,248,57,17
0,10,231,257,57,17
0,1,115,264,57,17
0,2,172,264,57,17
0,3,0,265,57,17
0,4,57,265,57,17
0,5,231,274,57,17
0,9,115,281,57,17
0,0,172,281,57,17
1,1,0,282,57,17
3,3,57,282,57,17
3,4,288,257,57,17
3,5,288,274,57,17
0,11,290,240,57,17
3,0,231,291,56,17
3,7,232,30,56,16
4,0,288,30,49,16
0,6,288,291,47,16
3,6,115,298,46,16
