loop,cel,x,y,w,h
5,3,0,0,38,40
5,4,38,0,41,33
5,5,38,33,40,27
5,2,0,40,31,28
3,0,38,60,41,18
2,0,78,33,41,18
2,1,38,78,39,18
3,1,77,78,39,18
3,3,0,68,37,18
2,3,79,0,37,18
2,6,79,60,35,18
2,5,0,86,35,18
3,5,38,96,35,18
3,6,77,96,35,18
2,4,0,104,33,18
3,4,112,96,33,18
2,2,116,78,33,17
3,2,114,60,33,17
5,0,77,114,24,22
2,7,38,114,29,18
3,7,112,114,29,18
8,0,116,0,28,17
8,1,119,33,24,18
8,2,0,122,24,18
8,3,38,132,24,18
8,4,116,17,26,16
5,1,112,132,25,16
0,0,77,136,21,16
1,0,137,132,21,16
4,3,0,140,19,17
4,0,19,140,17,19
1,3,79,18,21,15
0,3,141,114,21,15
4,2,143,33,17,17
7,8,144,0,9,32
4,1,145,96,17,16
1,2,147,60,17,16
0,2,112,148,17,16
9,3,137,148,16,17
7,6,38,150,12,20
4,4,149,78,19,12
7,5,100,18,15,15
7,4,62,132,15,15
7,3,50,150,16,14
7,1,24,122,13,17
4,5,77,152,22,10
1,1,98,136,13,16
0,1,99,152,13,16
7,7,101,114,9,22
7,2,153,0,15,13
1,4,66,150,11,16
0,4,153,148,11,16
9,5,153,13,12,14
9,1,0,157,11,15
9,4,67,114,9,18
9,2,78,51,18,9
9,6,96,51,18,9
7,0,31,40,7,22
1,5,158,132,9,16
0,5,160,33,9,16
9,7,19,159,10,14
6,2,119,51,15,9
6,1,77,162,19,7
9,0,162,114,7,18
6,4,143,50,17,7
6,0,149,90,19,5
6,3,153,164,16,5
