loop,cel,x,y,w,h
0,0,0,0,35,43
0,1,35,0,35,43
0,2,0,43,8,43
0,3,35,43,8,43
5,0,43,43,35,9
5,1,43,52,35,9
5,2,43,61,35,9
0,4,43,70,35,9
0,5,43,79,35,9
1,1,8,43,5,7
3,4,13,43,5,7
3,5,18,43,5,7
3,6,23,43,5,7
3,7,28,43,5,7
3,8,8,50,5,7
3,9,13,50,5,7
3,10,18,50,5,7
3,11,23,50,5,7
3,12,28,50,5,7
4,0,8,57,5,7
4,1,13,57,5,7
4,2,18,57,5,7
4,3,23,57,5,7
4,4,28,57,5,7
4,5,8,64,5,7
4,6,13,64,5,7
4,7,18,64,5,7
4,8,23,64,5,7
4,9,28,64,5,7
4,10,70,0,5,7
4,11,70,7,5,7
4,12,70,14,5,7
3,3,70,21,5,7
3,2,70,28,5,7
3,1,70,35,5,7
3,0,8,71,5,7
1,2,13,71,5,7
1,3,18,71,5,7
1,4,23,71,5,7
1,5,28,71,5,7
1,6,75,0,5,7
1,7,75,14,5,7
1,8,75,21,5,7
1,9,75,28,5,7
1,10,75,7,5,7
1,11,75,35,5,7
1,12,78,43,5,7
2,0,78,61,5,7
2,1,78,70,5,7
2,2,8,78,5,7
2,3,18,78,5,7
2,4,23,78,5,7
2,5,28,78,5,7
2,6,78,77,5,7
2,7,13,78,5,7
2,8,78,52,5,7
2,9,80,28,5,7
2,10,80,35,5,7
2,12,83,77,5,7
1,0,83,52,5,7
2,11,80,7,5,7
