loop,cel,x,y,w,h
5,0,0,0,80,41
3,4,0,41,60,42
3,3,60,41,60,42
3,2,0,83,60,42
3,0,60,83,60,42
3,5,0,125,60,42
3,1,60,125,60,42
2,1,80,0,88,10
2,0,80,10,88,6
1,0,80,16,25,19
1,1,105,16,25,19
1,3,120,41,25,19
1,2,120,83,25,19
6,0,120,60,15,13
7,1,120,102,15,13
6,1,120,115,15,13
7,0,120,128,15,13
0,7,130,16,12,12
0,4,130,28,12,12
0,1,135,102,12,12
0,6,135,115,12,12
0,0,135,60,10,13
0,5,135,128,10,13
0,3,120,141,10,13
0,2,135,141,10,13
4,4,120,73,10,9
4,2,130,73,8,8
4,3,142,16,8,8
4,0,142,24,8,8
4,1,142,32,8,8
6,2,80,35,1,3
7,2,80,38,1,3
