loop,cel,x,y,w,h
10,8,0,0,104,59
10,9,0,59,103,59
10,10,103,59,102,59
10,0,104,0,100,59
10,11,0,118,100,59
10,4,103,118,100,59
10,1,0,177,99,59
10,3,103,177,99,59
10,2,202,177,98,59
10,5,203,118,97,59
10,7,205,59,95,59
10,6,204,0,94,59
7,7,0,236,77,49
7,8,202,236,76,48
7,5,103,236,86,35
7,6,103,271,71,41
7,4,278,236,86,33
7,3,278,269,87,32
7,2,0,285,84,32
7,9,202,284,60,43
7,1,300,59,76,32
7,0,298,0,71,32
9,3,300,118,62,32
9,4,300,177,62,32
8,0,278,301,62,32
8,1,103,312,62,32
8,3,0,317,62,32
9,5,202,327,62,32
8,2,278,333,62,32
8,4,340,301,62,32
8,5,340,333,62,32
8,6,103,344,62,32
9,0,0,349,62,32
9,1,202,359,62,32
9,2,278,365,62,32
6,10,340,365,61,32
6,9,103,376,60,32
7,10,362,118,51,37
6,8,362,177,57,32
6,7,364,236,51,30
6,6,365,269,49,28
6,5,298,32,47,21
4,1,165,312,31,30
5,1,62,317,30,30
1,0,77,236,25,36
4,0,165,344,29,29
5,0,62,349,29,29
6,4,300,91,43,18
13,1,300,150,37,19
4,2,174,271,25,28
13,0,300,209,36,19
0,2,362,155,36,19
6,3,362,209,41,16
0,0,369,0,36,18
0,4,369,18,36,18
0,1,369,36,36,18
0,3,376,59,36,18
13,2,163,376,37,16
12,2,376,77,42,14
12,3,376,91,42,13
6,2,376,104,39,14
5,2,336,209,24,22
12,9,0,381,42,12
13,3,62,378,35,14
12,8,343,91,32,14
6,1,202,391,37,12
12,10,0,393,45,9
12,7,77,272,26,13
6,0,343,105,32,10
12,4,300,109,32,9
2,0,174,299,21,11
2,2,337,150,21,11
2,3,337,161,21,11
2,1,345,32,21,11
2,5,345,43,21,11
2,15,362,225,21,11
2,14,239,391,21,11
2,13,163,392,21,11
2,12,62,392,21,11
2,11,398,155,21,11
2,10,398,166,21,11
2,4,278,397,21,11
2,9,299,397,21,11
2,8,340,397,21,11
2,7,361,397,21,11
2,6,382,397,21,11
13,4,0,402,22,10
11,1,262,284,14,13
11,2,84,285,14,13
11,0,189,236,13,13
11,3,189,249,13,13
11,4,262,297,12,13
3,0,84,298,18,8
3,3,300,228,18,8
3,2,300,169,18,8
3,1,84,306,18,8
12,5,42,381,20,7
12,6,298,53,20,6
13,5,318,53,19,6
12,1,262,310,11,10
13,6,189,262,13,8
12,0,92,317,8,7
12,11,98,285,5,5
13,7,100,118,1,1
