loop,cel,x,y,w,h
3,2,0,0,37,77
3,0,37,0,39,15
1,0,37,15,16,24
2,0,37,39,15,24
0,0,52,39,15,24
1,1,53,15,16,22
0,1,37,63,15,22
2,1,52,63,15,22
1,2,67,39,16,20
2,2,67,63,15,20
0,2,69,15,15,20
1,3,0,77,16,18
2,3,16,77,15,18
0,3,82,63,15,18
3,1,76,0,19,13
2,4,82,81,15,16
1,4,83,39,15,16
0,4,67,83,15,16
0,5,84,15,15,14
2,5,37,85,15,14
1,5,52,85,15,14
1,6,0,95,15,12
0,6,16,95,15,12
2,6,95,0,14,12
1,7,84,29,14,10
0,7,97,63,14,10
2,7,97,81,13,10
1,8,83,55,13,8
0,8,97,73,13,8
2,8,82,97,13,8
0,9,97,91,13,6
2,9,95,97,13,6
1,9,98,39,13,6
0,10,53,37,1,1
2,10,53,38,1,1
1,10,54,37,1,1
