loop,cel,x,y,w,h
8,2,0,0,27,19
7,2,0,19,27,19
5,2,27,0,27,18
6,2,27,19,27,18
5,1,27,37,27,17
8,1,0,38,27,17
6,1,54,0,27,17
7,1,54,37,27,17
5,3,27,54,27,16
6,3,54,19,27,16
2,0,54,54,27,16
2,1,0,55,27,16
1,0,27,70,27,16
8,3,54,70,27,16
1,1,81,37,27,16
7,3,0,71,27,16
5,0,81,54,27,15
8,0,81,19,27,15
5,4,81,70,27,15
6,0,81,0,27,15
7,0,81,85,27,15
6,4,27,86,27,15
8,4,54,86,27,15
7,4,81,100,27,15
1,3,108,37,27,13
2,4,108,100,27,13
2,3,54,101,27,13
1,4,27,101,27,13
2,2,108,70,27,10
1,2,108,85,27,10
9,0,108,0,18,15
0,0,108,54,17,15
0,8,108,19,17,15
0,1,0,87,17,15
0,2,0,102,17,15
0,3,108,113,17,15
0,4,81,115,17,15
0,5,27,114,17,15
0,6,54,114,17,15
0,7,0,117,17,15
4,1,125,113,12,20
3,1,108,128,12,20
4,0,125,54,15,15
3,0,125,19,15,15
3,3,126,0,13,17
3,2,27,129,9,22
3,4,54,129,15,13
4,4,36,129,15,13
4,3,81,130,12,16
4,2,93,130,8,22
