loop,cel,x,y,w,h
2,15,0,0,31,31
0,10,0,31,31,31
0,1,31,0,31,31
0,2,31,31,31,31
0,3,62,0,31,31
0,4,31,62,31,31
0,5,62,31,31,31
0,6,0,62,31,31
0,7,62,62,31,31
0,8,0,93,31,31
1,6,93,31,31,31
0,9,62,93,31,31
1,5,93,62,31,31
0,12,93,0,31,31
0,13,31,93,31,31
0,14,93,93,31,31
0,15,124,0,31,31
1,0,31,124,31,31
1,1,124,31,31,31
1,2,93,124,31,31
1,3,124,93,31,31
0,11,124,62,31,31
1,4,62,124,31,31
1,7,0,124,31,31
2,13,124,124,31,31
1,9,155,62,31,31
1,10,62,155,31,31
1,11,0,155,31,31
1,12,155,31,31,31
1,13,124,155,31,31
1,14,155,124,31,31
1,15,155,93,31,31
2,0,93,155,31,31
2,1,31,155,31,31
1,8,155,0,31,31
2,2,155,155,31,31
2,4,186,93,31,31
2,5,93,186,31,31
2,6,31,186,31,31
2,7,186,0,31,31
2,8,186,31,31,31
2,9,155,186,31,31
2,10,186,155,31,31
2,11,0,186,31,31
2,12,186,124,31,31
2,3,124,186,31,31
2,14,62,186,31,31
0,0,186,62,31,31
3,0,186,186,31,31
3,2,0,217,31,31
3,3,217,124,31,31
3,4,124,217,31,31
3,5,62,217,31,31
3,6,217,62,31,31
3,7,217,31,31,31
3,8,186,217,31,31
3,9,217,186,31,31
3,10,31,217,31,31
3,11,217,155,31,31
3,12,155,217,31,31
3,13,217,0,31,31
3,14,93,217,31,31
3,15,217,93,31,31
4,0,217,217,31,31
4,1,31,248,31,31
4,2,248,155,31,31
4,3,155,248,31,31
4,4,248,0,31,31
4,5,93,248,31,31
4,6,248,93,31,31
3,1,248,62,31,31
4,7,217,248,31,31
4,9,248,217,31,31
5,3,248,31,31,31
4,10,124,248,31,31
4,11,248,186,31,31
4,12,186,248,31,31
4,13,62,248,31,31
4,14,248,124,31,31
4,15,0,248,31,31
5,0,248,248,31,31
5,1,279,31,31,31
5,2,124,279,31,31
5,4,279,186,31,31
4,8,186,279,31,31
5,5,62,279,31,31
5,6,279,124,31,31
5,7,0,279,31,31
5,8,279,93,31,31
5,9,248,279,31,31
5,10,279,248,31,31
5,11,279,62,31,31
5,12,279,0,31,31
5,13,279,217,31,31
5,14,217,279,31,31
6,0,279,155,49,29
