loop,cel,x,y,w,h
8,3,0,0,25,23
8,2,0,23,25,23
8,1,25,0,25,23
8,0,25,23,25,23
5,5,0,46,16,32
4,5,25,46,16,32
5,6,41,46,15,29
4,6,56,46,15,29
5,4,71,46,14,31
4,4,41,75,14,31
2,3,50,0,21,20
3,3,50,23,21,20
7,4,71,0,26,15
6,4,71,23,26,15
4,7,56,75,14,27
5,7,71,77,14,27
3,2,85,46,29,13
2,2,85,77,29,13
6,5,85,59,26,14
7,5,85,90,26,14
7,3,97,0,26,14
6,3,97,23,26,14
2,4,0,78,21,17
3,4,0,95,21,17
2,1,85,104,26,13
3,1,111,90,26,13
6,2,111,104,26,13
7,2,114,46,26,13
7,6,114,77,26,12
6,6,114,59,26,12
9,4,16,46,9,32
6,1,85,117,26,11
7,1,111,117,26,11
6,0,123,0,26,10
7,0,123,23,26,10
4,2,25,78,14,18
5,2,25,96,14,18
9,2,56,102,12,20
3,0,0,112,19,12
2,0,123,10,19,12
9,1,41,106,15,15
9,0,25,114,16,14
9,6,71,104,13,17
4,9,71,121,13,16
5,9,56,122,13,16
9,3,41,121,9,22
9,7,123,33,15,13
5,1,0,124,17,10
4,1,111,128,17,10
9,5,25,128,7,22
5,3,50,121,6,22
4,3,32,128,6,22
0,2,71,15,16,8
1,2,71,38,16,8
5,8,85,128,6,21
4,8,128,128,6,21
1,4,97,14,16,7
1,1,97,37,16,7
0,4,137,90,16,7
0,1,91,128,16,7
5,0,0,134,16,7
4,0,134,128,16,7
1,0,114,71,16,6
0,0,91,135,16,6
1,3,134,135,17,5
0,3,137,104,17,5
