loop,cel,x,y,w,h
8,5,0,0,35,27
8,3,0,27,35,27
8,2,35,0,35,27
8,1,35,27,35,27
8,0,0,54,35,27
8,4,35,54,35,27
5,1,70,54,25,35
7,3,0,81,29,28
3,7,70,0,29,26
3,6,70,27,29,26
3,5,35,81,29,26
3,4,70,89,29,26
3,3,95,54,29,26
3,2,99,0,29,26
3,0,99,27,29,26
3,1,99,89,29,26
2,3,35,107,29,25
5,0,0,109,25,29
7,2,70,115,29,23
2,2,99,115,19,25
6,0,118,115,17,25
2,1,124,54,17,25
2,0,128,0,17,25
6,2,128,89,17,25
6,1,128,27,17,25
1,5,35,132,17,24
7,1,52,132,17,24
7,0,135,115,17,24
1,4,70,138,17,21
1,3,0,138,17,18
4,0,17,138,17,15
4,3,135,139,17,15
1,2,99,140,17,15
4,4,118,140,16,15
4,2,141,54,16,15
4,1,141,69,16,15
4,5,145,0,16,15
1,1,145,27,17,12
0,1,145,39,17,12
1,0,124,79,17,10
0,0,145,89,17,10
