loop,cel,x,y,w,h
0,0,0,0,16,16
1,8,0,16,16,16
1,9,16,0,16,16
1,10,16,16,16,16
1,11,32,0,16,16
2,0,16,32,16,16
2,1,32,16,16,16
1,7,0,32,16,16
2,2,32,32,16,16
2,4,0,48,16,16
2,5,48,16,16,16
2,6,32,48,16,16
2,7,48,32,16,16
2,8,48,0,16,16
2,9,16,48,16,16
2,3,48,48,16,16
1,6,64,0,16,16
1,5,16,64,16,16
1,4,64,16,16,16
0,1,48,64,16,16
0,2,64,48,16,16
0,3,64,32,16,16
0,4,32,64,16,16
0,5,0,64,16,16
0,6,64,64,16,16
0,7,80,32,16,16
0,8,32,80,16,16
0,9,0,80,16,16
0,10,80,16,16,16
0,11,64,80,16,16
1,0,80,64,16,16
1,1,80,48,16,16
1,2,48,80,16,16
1,3,16,80,16,16
2,10,80,0,16,16
2,11,80,80,16,16
