loop,cel,x,y,w,h
0,13,0,0,22,23
1,10,22,0,21,24
1,7,22,24,28,18
2,7,22,42,28,18
2,10,0,23,21,24
3,10,43,0,22,20
3,6,50,24,24,18
3,15,0,47,21,20
4,4,50,42,16,25
0,8,22,60,21,18
1,12,65,0,25,15
5,3,66,42,15,25
2,12,66,67,25,15
2,8,0,67,17,22
1,8,22,78,17,22
3,8,50,67,15,24
4,2,74,24,22,16
2,4,81,42,18,19
1,4,66,82,18,19
5,14,84,82,20,17
2,6,0,89,20,17
1,6,90,0,20,17
5,15,96,24,20,17
3,12,50,91,14,24
5,9,99,42,17,19
4,12,84,99,19,16
2,3,22,100,15,20
1,3,66,101,15,20
3,7,103,99,18,16
4,9,104,82,18,16
4,8,91,67,19,15
5,2,0,106,11,25
0,12,110,0,17,16
3,5,110,67,27,10
4,11,103,115,19,14
5,5,11,106,11,24
2,13,37,100,13,20
2,11,116,24,20,13
1,11,116,42,20,13
1,13,50,115,13,20
1,5,22,120,20,13
4,6,121,99,20,13
2,5,122,82,20,13
4,0,84,115,16,16
5,12,66,121,17,15
5,11,122,115,17,15
5,13,127,0,17,15
5,10,103,129,17,15
0,14,122,130,17,15
5,8,0,131,10,25
5,7,84,131,10,25
2,9,22,133,15,16
1,9,50,135,15,16
3,13,10,131,10,24
3,11,66,136,10,24
4,14,136,24,17,14
5,0,136,42,10,23
1,1,116,55,19,12
2,1,137,67,19,12
5,6,94,131,9,25
5,4,139,130,9,25
3,9,139,115,16,14
4,5,39,78,10,22
4,7,144,0,10,22
4,13,141,99,15,14
4,1,103,144,11,19
4,3,122,145,11,19
4,10,37,133,13,16
0,15,146,42,10,20
1,2,142,82,13,15
2,2,148,130,13,15
5,1,76,136,8,23
2,15,148,145,13,13
1,15,22,149,13,13
0,9,35,149,14,12
3,4,65,15,17,9
4,15,50,151,9,16
1,0,153,24,13,11
3,0,154,0,13,11
2,0,154,11,13,11
0,5,155,82,10,13
2,14,127,15,14,9
1,14,155,115,14,9
0,11,156,42,12,10
3,2,0,156,12,10
0,4,156,52,11,10
0,6,139,155,9,12
3,1,156,99,12,9
0,2,84,156,11,9
0,7,110,16,11,8
3,14,12,156,10,8
0,1,156,67,10,8
0,0,148,158,10,8
0,3,90,17,11,7
0,10,153,35,10,7
3,3,82,15,8,8
