loop,cel,x,y,w,h
0,8,0,0,19,19
1,8,0,19,19,19
2,8,19,0,19,19
3,8,19,19,19,19
4,9,38,0,18,18
1,7,19,38,17,17
3,7,38,19,17,17
4,8,36,38,17,17
2,7,0,38,17,17
0,7,53,38,17,17
4,10,19,55,15,16
4,7,53,55,15,15
0,6,0,55,15,15
2,6,55,19,15,15
3,6,36,55,15,15
1,6,56,0,15,15
2,5,68,55,13,13
1,5,68,68,13,13
4,11,70,38,13,13
3,5,70,19,13,13
4,6,36,70,13,13
0,5,0,70,13,13
1,4,53,70,11,11
3,4,19,71,11,11
4,12,71,0,11,11
0,4,81,55,11,11
4,5,81,68,11,11
2,4,53,81,11,11
4,4,68,81,11,10
1,3,79,81,9,9
4,13,19,82,9,9
0,3,82,0,9,9
3,3,82,9,9,9
2,3,83,38,9,9
4,3,71,11,8,8
1,15,28,82,8,8
0,9,0,83,8,8
0,10,36,83,8,8
1,10,83,47,8,8
0,15,8,83,8,8
1,9,44,83,8,8
4,2,83,19,7,7
0,2,83,26,7,7
2,2,88,81,7,7
3,2,88,88,7,7
1,2,28,90,7,7
4,14,90,19,7,7
2,15,70,32,6,6
3,15,13,70,6,5
4,1,30,71,5,5
0,1,30,76,5,5
1,1,13,75,5,5
2,1,76,32,5,5
3,1,83,33,5,5
2,13,15,55,4,5
2,11,55,34,5,4
2,12,56,15,5,4
2,14,15,60,4,5
2,9,17,38,2,8
0,12,70,51,4,4
0,11,61,15,4,4
1,11,60,34,4,4
1,12,49,70,4,4
2,10,38,36,8,2
3,11,64,34,5,3
3,12,65,15,5,3
3,13,15,65,3,5
3,14,64,70,3,5
0,0,64,75,3,3
3,0,49,74,3,3
2,0,74,51,3,3
1,0,49,77,3,3
3,10,38,18,8,1
3,9,34,55,1,8
0,14,17,46,2,4
0,13,46,36,4,2
1,14,51,55,1,4
1,13,46,18,4,1
4,15,50,36,2,2
4,0,50,18,1,1
