loop,cel,x,y,w,h
0,0,0,0,21,8
0,1,0,8,21,8
0,2,0,16,21,8
9,0,21,0,21,8
9,5,21,16,19,8
9,2,21,8,19,8
5,1,0,24,19,8
5,0,21,24,19,8
5,2,0,32,19,8
2,1,21,32,19,8
2,0,40,8,19,8
2,2,0,40,19,8
3,0,40,32,19,7
3,1,21,40,19,7
3,2,40,16,19,7
1,0,40,40,19,7
9,3,40,24,19,7
1,1,42,0,19,7
9,1,21,47,19,7
1,2,40,47,19,7
9,7,0,48,21,6
7,0,59,8,21,6
9,6,0,54,19,6
6,0,21,54,19,6
6,1,40,54,19,6
7,1,59,24,21,5
7,2,59,47,21,5
8,2,59,16,17,6
8,0,59,40,17,6
8,1,59,54,17,6
9,8,59,32,17,6
6,2,21,60,19,5
4,2,59,60,19,5
9,4,40,60,19,5
4,1,0,60,19,5
4,0,61,0,19,5
