loop,cel,x,y,w,h
14,0,0,0,134,8
15,0,0,8,6,62
15,1,6,8,62,6
3,1,6,14,20,20
5,1,26,14,20,20
5,0,6,34,20,20
4,1,26,34,20,20
4,0,46,14,20,20
2,0,46,34,20,20
3,0,26,54,20,20
6,1,6,54,20,20
1,1,46,54,20,20
1,0,66,54,20,20
0,1,66,34,20,20
2,1,66,14,20,20
9,1,6,74,20,20
0,0,46,74,20,20
13,1,66,74,20,20
6,0,26,74,20,20
11,1,86,14,20,20
11,0,86,74,20,20
10,1,86,34,20,20
13,0,86,54,20,20
9,0,26,94,20,20
8,1,86,94,20,20
8,0,46,94,20,20
7,1,66,94,20,20
7,0,6,94,20,20
10,0,106,54,20,20
14,4,106,34,22,8
14,2,106,14,22,8
14,1,106,42,8,8
14,3,106,22,8,8
15,3,68,8,7,6
15,2,0,70,6,7
12,3,106,50,3,3
12,1,0,77,3,3
12,0,75,8,3,3
12,2,75,11,3,3
