loop,cel,x,y,w,h
0,0,0,0,14,13
5,11,0,13,14,13
5,10,14,0,14,13
5,9,14,13,14,13
5,8,0,26,14,13
5,7,14,26,14,13
5,6,28,0,14,13
5,5,28,13,14,13
5,4,28,26,14,13
5,3,0,39,14,13
5,2,14,39,14,13
5,1,28,39,14,13
5,0,42,13,14,13
4,8,42,26,14,13
5,12,42,0,14,13
4,7,42,39,14,13
4,5,14,52,14,13
4,4,28,52,14,13
4,3,0,52,14,13
4,2,42,52,14,13
4,1,56,0,14,13
4,0,56,26,14,13
3,1,56,39,14,13
3,0,56,13,14,13
2,1,56,52,14,13
2,0,0,65,14,13
1,1,42,65,14,13
1,0,28,65,14,13
0,1,14,65,14,13
4,6,56,65,14,13
5,13,70,13,14,13
