loop,cel,x,y,w,h
3,0,0,0,67,50
8,5,0,50,43,52
8,3,43,50,43,52
7,5,86,50,43,52
7,4,0,102,43,52
7,3,86,102,43,52
8,4,43,102,43,52
6,1,67,0,88,7
8,2,129,50,37,52
7,2,129,102,37,52
7,1,43,154,21,51
8,1,0,154,21,51
1,2,129,154,16,54
1,3,86,154,16,54
2,2,145,154,13,57
4,2,67,7,53,16
4,0,67,23,53,16
4,1,155,0,53,16
0,3,102,154,13,56
0,2,64,154,13,56
2,3,115,154,11,57
1,4,21,154,16,50
1,1,158,154,16,50
0,1,166,50,13,52
0,4,166,102,13,52
2,1,174,154,11,53
2,4,185,154,11,53
1,0,196,154,16,46
0,0,179,102,13,47
2,0,179,50,11,47
8,0,77,154,9,46
7,0,190,50,9,46
5,2,120,7,23,19
5,1,120,26,23,19
5,0,155,16,23,19
6,0,67,39,36,3
