loop,cel,x,y,w,h
5,13,0,0,31,31
4,7,0,31,31,31
4,9,31,0,31,31
3,4,31,31,31,31
4,4,62,0,31,17
4,3,31,62,31,17
1,14,62,31,17,31
4,8,62,62,17,31
4,11,0,62,17,31
2,11,79,31,17,31
5,6,79,62,17,31
2,9,31,79,17,31
5,11,93,0,31,17
1,9,79,93,31,17
2,10,0,93,16,31
2,12,62,93,16,31
3,9,96,31,16,31
2,15,96,62,16,31
3,13,31,110,16,31
3,14,110,93,31,16
4,6,79,110,16,31
4,12,95,110,16,31
4,15,111,110,31,16
5,7,124,0,16,31
5,8,112,62,16,31
5,12,112,31,16,31
3,10,0,124,31,16
1,13,62,124,16,31
5,14,111,126,31,16
1,11,31,141,16,31
0,13,128,31,31,16
1,3,128,62,31,16
1,8,0,140,31,16
1,0,140,0,31,16
1,10,95,141,16,31
4,0,128,47,31,15
1,4,128,78,31,15
1,15,16,93,15,31
3,15,47,110,15,31
3,12,140,16,31,15
1,12,79,141,15,31
1,7,141,93,31,15
0,14,142,110,31,15
5,9,47,141,15,31
5,10,142,126,31,15
3,11,111,142,15,31
4,10,126,142,15,31
3,6,141,142,21,20
3,8,159,31,21,20
3,0,0,156,21,20
3,2,159,62,21,20
2,13,62,17,31,13
2,14,93,17,31,13
0,15,17,62,12,31
2,1,62,155,17,17
5,4,141,162,17,17
0,12,162,142,17,17
5,0,158,162,17,17
3,5,48,79,9,31
3,7,171,0,31,9
3,3,95,172,9,31
3,1,171,9,31,9
0,11,62,172,16,17
5,1,79,172,16,17
5,2,172,93,17,16
4,13,31,172,17,16
2,0,175,162,16,17
2,3,173,110,17,16
4,14,0,176,16,17
0,10,173,126,17,16
5,3,141,179,16,16
5,5,175,179,16,16
0,9,179,142,16,16
2,2,158,179,16,16
0,0,180,31,16,16
2,4,180,62,16,16
0,2,111,173,15,16
2,5,126,173,15,16
2,6,180,47,16,15
0,6,180,78,16,15
2,7,16,176,15,15
0,8,31,188,15,15
2,8,29,62,2,31
4,5,141,108,31,2
1,5,159,51,17,2
1,2,57,79,2,17
1,6,59,79,2,16
1,1,159,82,16,2
0,5,78,93,1,31
0,3,78,124,1,31
0,7,62,30,31,1
0,1,93,30,31,1
0,4,61,79,1,1
4,1,61,80,1,1
4,2,61,81,1,1
