i,x,y,w,h
0,0,0,2,1
1,4,0,11,6
2,17,0,16,6
3,35,0,9,6
4,46,0,7,6
5,55,0,9,6
6,66,0,17,6
7,85,0,8,6
8,95,0,12,6
9,109,0,9,6
10,120,0,1,1
11,123,0,8,6
12,133,0,1,1
13,136,0,2,1
14,140,0,6,7
15,148,0,7,7
16,157,0,8,6
17,167,0,8,8
18,177,0,6,6
19,185,0,6,8
20,193,0,17,5
21,212,0,2,2
22,216,0,7,6
23,225,0,7,6
24,234,0,7,6
25,243,0,7,8
26,0,9,7,6
27,9,9,7,8
28,18,9,7,8
29,27,9,7,8
30,36,9,7,8
31,45,9,7,7
32,54,9,3,8
33,59,9,3,6
34,64,9,5,7
35,71,9,6,6
36,79,9,5,7
37,86,9,6,6
38,94,9,5,6
39,101,9,3,5
40,106,9,4,6
41,112,9,4,6
42,118,9,6,6
43,126,9,4,6
44,132,9,4,6
45,138,9,4,4
46,144,9,3,6
47,149,9,6,6
48,157,9,5,5
49,164,9,5,5
50,171,9,5,6
51,178,9,5,6
52,185,9,5,6
53,192,9,5,6
54,199,9,5,6
55,206,9,5,6
56,213,9,5,6
57,220,9,5,6
58,227,9,3,5
59,232,9,4,9
60,238,9,4,6
61,244,9,4,6
62,250,9,4,6
63,0,18,4,6
64,6,18,6,6
65,14,18,5,6
66,21,18,5,6
67,28,18,5,6
68,35,18,5,6
69,42,18,5,6
70,49,18,5,6
71,56,18,6,6
72,64,18,5,6
73,71,18,4,6
74,77,18,5,6
75,84,18,5,6
76,91,18,5,6
77,98,18,6,6
78,106,18,6,6
79,114,18,5,6
80,121,18,5,6
81,128,18,5,6
82,135,18,5,6
83,142,18,5,6
84,149,18,6,6
85,157,18,5,6
86,164,18,6,6
87,172,18,6,6
88,180,18,6,8
89,188,18,6,6
90,196,18,6,6
91,204,18,3,5
92,209,18,6,5
93,217,18,3,5
94,222,18,4,7
95,228,18,4,6
96,234,18,3,7
97,239,18,6,6
98,247,18,5,6
99,0,27,4,6
100,6,27,5,6
101,13,27,4,6
102,19,27,4,6
103,25,27,5,7
104,32,27,5,6
105,39,27,2,6
106,43,27,4,7
107,49,27,4,6
108,55,27,2,6
109,59,27,6,6
110,67,27,5,6
111,74,27,5,6
112,81,27,5,6
113,88,27,5,6
114,95,27,5,6
115,102,27,5,6
116,109,27,4,6
117,115,27,6,6
118,123,27,6,6
119,131,27,6,6
120,139,27,5,6
121,146,27,5,6
122,153,27,5,6
123,160,27,4,5
124,166,27,3,6
125,171,27,4,6
126,177,27,5,5
127,184,27,1,1
