i,x,y,w,h
0,0,0,2,9
1,4,0,9,8
2,15,0,11,6
3,28,0,17,6
4,47,0,9,8
5,58,0,10,8
6,70,0,10,8
7,82,0,5,8
8,89,0,8,6
9,99,0,12,6
10,113,0,7,8
11,122,0,9,8
12,133,0,9,8
13,144,0,9,8
14,155,0,9,8
15,166,0,8,8
16,176,0,7,8
17,185,0,7,8
18,194,0,7,8
19,203,0,7,8
20,212,0,9,8
21,223,0,9,8
22,234,0,7,9
23,243,0,7,9
24,0,10,7,9
25,9,10,7,9
26,18,10,7,9
27,27,10,7,9
28,36,10,7,9
29,45,10,7,9
30,54,10,7,9
31,63,10,7,9
32,72,10,5,9
33,79,10,3,8
34,84,10,6,8
35,92,10,8,8
36,102,10,8,8
37,112,10,8,8
38,122,10,8,8
39,132,10,4,8
40,138,10,5,8
41,145,10,5,8
42,152,10,8,8
43,162,10,7,8
44,171,10,4,8
45,177,10,7,8
46,186,10,3,8
47,191,10,8,8
48,201,10,8,8
49,211,10,6,8
50,219,10,7,8
51,228,10,8,8
52,238,10,8,8
53,0,20,8,8
54,10,20,8,8
55,20,20,8,8
56,30,20,8,8
57,40,20,8,8
58,50,20,3,8
59,55,20,4,8
60,61,20,6,8
61,69,20,7,8
62,78,20,6,8
63,86,20,7,8
64,95,20,8,8
65,105,20,7,9
66,114,20,8,9
67,124,20,8,9
68,134,20,8,9
69,144,20,8,9
70,154,20,8,9
71,164,20,8,9
72,174,20,8,9
73,184,20,5,9
74,191,20,8,9
75,201,20,8,9
76,211,20,8,9
77,221,20,8,9
78,231,20,7,9
79,240,20,8,9
80,0,30,8,9
81,10,30,8,9
82,20,30,8,9
83,30,30,7,9
84,39,30,7,9
85,48,30,7,9
86,57,30,8,9
87,67,30,8,9
88,77,30,8,9
89,87,30,7,9
90,96,30,7,9
91,105,30,4,8
92,111,30,8,8
93,121,30,4,8
94,127,30,8,8
95,137,30,8,8
96,147,30,4,8
97,153,30,8,9
98,163,30,7,9
99,172,30,7,9
100,181,30,8,9
101,191,30,7,9
102,200,30,6,9
103,208,30,7,8
104,217,30,7,9
105,226,30,5,9
106,233,30,6,9
107,241,30,7,9
108,250,30,5,9
109,0,40,8,9
110,10,40,7,9
111,19,40,7,9
112,28,40,7,9
113,37,40,7,9
114,46,40,7,9
115,55,40,7,9
116,64,40,5,9
117,71,40,7,9
118,80,40,7,9
119,89,40,8,9
120,99,40,7,9
121,108,40,7,9
122,117,40,7,9
123,126,40,7,8
124,135,40,3,8
125,140,40,7,8
126,149,40,8,8
127,159,40,8,9
