loop,cel,x,y,w,h
0,11,0,0,8,43
0,14,8,0,8,43
0,13,16,0,8,43
0,12,24,0,8,43
0,10,32,0,8,43
0,9,40,0,8,43
0,7,0,43,8,43
0,8,24,43,8,43
0,5,32,43,8,43
0,4,40,43,8,43
0,3,16,43,8,43
0,2,8,43,8,43
0,1,48,0,8,43
0,6,48,43,8,43
2,2,56,0,7,43
2,9,56,43,7,43
2,1,63,43,7,43
2,3,70,43,7,43
2,7,77,43,7,43
2,5,63,0,7,43
2,6,84,43,7,43
2,10,70,0,7,43
2,4,77,0,7,43
2,11,84,0,7,43
2,13,91,0,7,43
2,12,91,43,7,43
2,14,98,43,7,43
2,8,98,0,7,43
4,10,8,86,6,5
4,12,32,86,7,4
4,11,48,86,5,5
4,4,63,86,6,4
4,13,77,86,6,4
4,7,84,86,5,4
4,6,70,86,5,4
4,1,56,86,5,4
4,8,16,86,6,3
4,9,24,86,4,4
4,2,40,86,5,3
1,10,0,86,5,3
1,4,89,86,5,3
1,9,28,86,4,3
1,6,16,89,4,3
1,3,0,89,4,3
4,3,53,86,3,4
1,2,89,89,4,3
1,1,40,89,4,3
4,5,20,89,4,3
3,13,5,86,3,3
4,0,89,92,9,1
3,9,45,86,3,3
4,14,44,89,3,3
1,0,93,89,9,1
1,5,4,89,3,3
1,7,32,90,3,3
1,8,63,90,3,3
1,11,77,90,3,3
3,4,84,90,3,3
1,12,56,90,3,3
1,13,35,90,3,3
3,0,24,90,8,1
2,0,24,91,8,1
0,0,8,91,8,1
3,3,66,90,4,2
3,1,80,90,4,2
3,6,14,86,2,3
3,2,70,90,3,2
1,14,73,90,3,2
3,14,59,90,3,2
3,12,48,91,3,2
3,8,51,91,3,2
3,11,61,86,2,2
3,10,22,86,2,2
3,5,28,89,4,1
3,7,75,86,2,2
