i,x,y,w,h
0,0,0,4,7
1,6,0,7,7
2,15,0,12,7
3,29,0,17,7
4,48,0,7,8
5,57,0,6,8
6,65,0,2,1
7,69,0,8,6
8,79,0,12,6
9,93,0,2,1
10,97,0,2,1
11,101,0,2,1
12,105,0,2,1
13,109,0,2,1
14,113,0,2,1
15,117,0,1,1
16,120,0,8,8
17,130,0,9,8
18,141,0,9,8
19,152,0,9,8
20,163,0,6,8
21,171,0,6,8
22,179,0,5,7
23,186,0,2,1
24,190,0,2,1
25,194,0,2,1
26,198,0,2,1
27,202,0,2,1
28,206,0,2,1
29,210,0,2,1
30,214,0,2,1
31,218,0,2,1
32,222,0,4,7
33,228,0,2,7
34,232,0,5,7
35,239,0,6,7
36,247,0,4,7
37,0,9,6,7
38,8,9,4,7
39,14,9,3,7
40,19,9,4,7
41,25,9,4,7
42,31,9,6,5
43,39,9,6,6
44,47,9,3,8
45,52,9,4,4
46,58,9,4,7
47,64,9,5,7
48,71,9,4,7
49,77,9,4,7
50,83,9,4,7
51,89,9,4,7
52,95,9,4,7
53,101,9,4,7
54,107,9,4,7
55,113,9,4,7
56,119,9,4,7
57,125,9,4,7
58,131,9,2,7
59,135,9,3,8
60,140,9,4,7
61,146,9,4,7
62,152,9,4,7
63,158,9,4,7
64,164,9,8,8
65,174,9,4,7
66,180,9,4,7
67,186,9,4,7
68,192,9,4,7
69,198,9,4,7
70,204,9,4,7
71,210,9,5,7
72,217,9,4,7
73,223,9,4,7
74,229,9,4,7
75,235,9,4,7
76,241,9,4,7
77,247,9,6,7
78,0,18,5,7
79,7,18,4,7
80,13,18,4,7
81,19,18,4,8
82,25,18,4,7
83,31,18,4,7
84,37,18,4,7
85,43,18,4,7
86,49,18,4,7
87,55,18,6,7
88,63,18,4,7
89,69,18,4,7
90,75,18,4,7
91,81,18,3,7
92,86,18,5,7
93,93,18,3,7
94,98,18,4,7
95,104,18,4,7
96,110,18,3,7
97,115,18,5,7
98,122,18,4,7
99,128,18,4,7
100,134,18,4,7
101,140,18,4,7
102,146,18,4,7
103,152,18,4,9
104,158,18,4,7
105,164,18,2,7
106,168,18,3,8
107,173,18,4,7
108,179,18,2,7
109,183,18,6,7
110,191,18,4,7
111,197,18,4,7
112,203,18,4,8
113,209,18,4,8
114,215,18,4,8
115,221,18,4,7
116,227,18,4,7
117,233,18,5,7
118,240,18,4,7
119,246,18,6,7
120,0,27,4,7
121,6,27,4,8
122,12,27,4,7
123,18,27,4,7
124,24,27,3,7
125,29,27,4,7
126,35,27,5,7
127,42,27,2,1
