i,x,y,w,h
0,0,0,2,1
1,4,0,2,1
2,8,0,2,1
3,12,0,2,1
4,16,0,2,1
5,20,0,2,1
6,24,0,24,6
7,50,0,2,1
8,54,0,2,1
9,58,0,8,7
10,68,0,2,1
11,72,0,8,8
12,82,0,2,1
13,86,0,2,1
14,90,0,6,8
15,98,0,7,7
16,107,0,2,1
17,111,0,2,1
18,115,0,2,1
19,119,0,2,1
20,123,0,2,1
21,127,0,2,1
22,131,0,7,7
23,140,0,7,7
24,149,0,7,7
25,158,0,7,7
26,167,0,7,7
27,176,0,7,7
28,185,0,7,7
29,194,0,7,7
30,203,0,7,7
31,212,0,7,7
32,221,0,4,7
33,227,0,2,7
34,231,0,5,7
35,238,0,6,7
36,246,0,4,7
37,0,10,6,7
38,8,10,4,7
39,14,10,3,7
40,19,10,4,7
41,25,10,4,7
42,31,10,6,5
43,39,10,4,8
44,45,10,3,7
45,50,10,5,7
46,57,10,3,7
47,62,10,5,7
48,69,10,5,7
49,76,10,5,7
50,83,10,5,7
51,90,10,5,7
52,97,10,5,7
53,104,10,5,7
54,111,10,5,7
55,118,10,5,7
56,125,10,5,7
57,132,10,5,7
58,139,10,2,7
59,143,10,3,7
60,148,10,4,7
61,154,10,4,7
62,160,10,4,7
63,166,10,5,7
64,173,10,8,7
65,183,10,5,7
66,190,10,5,7
67,197,10,5,7
68,204,10,5,7
69,211,10,5,7
70,218,10,5,7
71,225,10,5,7
72,232,10,5,7
73,239,10,4,7
74,245,10,5,7
75,0,20,5,7
76,7,20,5,7
77,14,20,6,7
78,22,20,6,7
79,30,20,5,7
80,37,20,5,7
81,44,20,6,7
82,52,20,5,7
83,59,20,5,7
84,66,20,6,7
85,74,20,5,7
86,81,20,6,7
87,89,20,6,7
88,97,20,6,7
89,105,20,6,7
90,113,20,5,7
91,120,20,3,7
92,125,20,5,7
93,132,20,3,7
94,137,20,4,7
95,143,20,4,7
96,149,20,3,7
97,154,20,5,7
98,161,20,5,7
99,168,20,5,7
100,175,20,5,7
101,182,20,5,7
102,189,20,5,7
103,196,20,5,7
104,203,20,5,7
105,210,20,2,7
106,214,20,4,7
107,220,20,4,7
108,226,20,2,7
109,230,20,6,7
110,238,20,5,7
111,245,20,5,7
112,0,30,5,7
113,7,30,5,7
114,14,30,5,7
115,21,30,5,7
116,28,30,4,7
117,34,30,5,7
118,41,30,6,7
119,49,30,6,7
120,57,30,5,7
121,64,30,5,7
122,71,30,5,8
123,78,30,4,7
124,84,30,3,7
125,89,30,4,7
126,95,30,5,7
127,102,30,1,1
