i,x,y,w,h
0,0,0,8,8
1,10,0,10,8
2,22,0,11,6
3,35,0,16,6
4,53,0,10,9
5,65,0,7,8
6,74,0,2,1
7,78,0,8,8
8,88,0,8,6
9,98,0,13,6
10,113,0,2,1
11,117,0,2,1
12,121,0,2,1
13,125,0,2,1
14,129,0,2,1
15,133,0,2,1
16,137,0,7,8
17,146,0,7,8
18,155,0,7,8
19,164,0,2,1
20,168,0,2,1
21,172,0,2,1
22,176,0,7,8
23,185,0,2,1
24,189,0,7,8
25,198,0,7,8
26,207,0,9,8
27,218,0,9,8
28,229,0,2,1
29,233,0,9,8
30,244,0,8,8
31,0,14,8,8
32,10,14,3,8
33,15,14,3,8
34,20,14,4,8
35,26,14,7,9
36,35,14,6,10
37,43,14,11,8
38,56,14,9,8
39,67,14,3,8
40,72,14,4,9
41,78,14,4,9
42,84,14,6,5
43,92,14,6,8
44,100,14,3,9
45,105,14,6,8
46,113,14,4,9
47,119,14,9,8
48,130,14,7,8
49,139,14,4,8
50,145,14,6,8
51,153,14,7,8
52,162,14,6,8
53,170,14,6,8
54,178,14,6,8
55,186,14,6,8
56,194,14,6,8
57,202,14,6,8
58,210,14,2,8
59,214,14,4,11
60,220,14,6,9
61,228,14,7,8
62,237,14,6,9
63,245,14,6,8
64,0,28,11,10
65,13,28,8,8
66,23,28,7,9
67,32,28,8,9
68,42,28,8,9
69,52,28,7,9
70,61,28,7,8
71,70,28,9,9
72,81,28,9,9
73,92,28,4,9
74,98,28,6,9
75,106,28,9,8
76,117,28,7,9
77,126,28,10,9
78,138,28,9,9
79,149,28,8,9
80,159,28,7,9
81,168,28,8,10
82,178,28,8,9
83,188,28,6,9
84,196,28,8,9
85,206,28,8,9
86,216,28,8,9
87,226,28,12,9
88,240,28,9,9
89,0,42,8,8
90,10,42,7,9
91,19,42,4,8
92,25,42,9,8
93,36,42,4,8
94,42,42,6,8
95,50,42,8,8
96,60,42,3,8
97,65,42,6,9
98,73,42,6,8
99,81,42,5,9
100,88,42,6,8
101,96,42,5,9
102,103,42,5,9
103,110,42,6,10
104,118,42,7,9
105,127,42,4,9
106,133,42,3,9
107,138,42,7,8
108,147,42,4,8
109,153,42,10,9
110,165,42,8,8
111,175,42,6,8
112,183,42,6,10
113,191,42,6,10
114,199,42,5,8
115,206,42,5,8
116,213,42,4,8
117,219,42,7,8
118,228,42,6,8
119,236,42,10,8
120,248,42,6,8
121,0,56,8,10
122,10,56,5,8
123,17,56,5,9
124,24,56,4,9
125,30,56,5,9
126,37,56,7,8
127,46,56,1,1
