loop,cel,x,y,w,h
0,11,0,0,8,43
0,14,8,0,8,43
0,13,16,0,8,43
0,12,24,0,8,43
0,10,32,0,8,43
0,9,40,0,8,43
0,7,0,43,8,43
0,8,24,43,8,43
0,5,32,43,8,43
0,4,40,43,8,43
0,3,16,43,8,43
0,2,8,43,8,43
0,1,48,0,8,43
0,6,48,43,8,43
2,8,56,0,7,43
2,10,56,43,7,43
2,9,63,43,7,43
2,6,70,43,7,43
2,7,77,43,7,43
2,2,63,0,7,43
2,3,84,43,7,43
2,11,70,0,7,43
2,1,77,0,7,43
2,12,84,0,7,43
2,5,91,0,7,43
2,14,91,43,7,43
2,4,98,43,7,43
2,13,98,0,7,43
4,1,8,86,6,6
4,5,32,86,6,5
4,4,48,86,6,4
4,13,63,86,5,4
4,6,77,86,5,4
4,9,84,86,5,4
4,10,70,86,6,3
4,11,56,86,6,3
4,14,16,86,6,3
4,12,24,86,5,3
4,8,40,86,5,3
4,3,0,86,5,3
4,7,89,86,5,3
3,10,24,89,4,3
1,1,0,89,4,3
4,2,89,89,4,3
3,11,40,89,4,3
1,9,28,89,4,3
1,5,4,89,4,3
3,2,16,89,4,3
3,4,70,89,4,3
1,3,20,89,4,3
3,7,44,89,4,3
3,8,5,86,3,3
3,3,45,86,3,3
3,13,29,86,3,3
3,1,74,89,3,3
1,7,56,89,3,3
1,2,59,89,3,3
1,11,48,90,3,3
3,6,63,90,3,3
1,6,77,90,4,2
0,0,32,91,8,1
2,0,8,92,8,1
3,0,40,92,8,1
1,0,77,92,7,1
4,0,24,92,7,1
3,14,66,90,3,2
3,12,81,90,3,2
3,9,51,90,3,2
1,4,14,86,2,3
3,5,84,90,3,2
1,8,84,92,3,2
1,10,16,92,3,2
1,12,19,92,3,2
1,13,32,92,3,2
1,14,35,92,3,2
