loop,cel,x,y,w,h
15,1,0,0,60,15
15,0,0,15,60,15
14,1,0,30,54,15
14,0,0,45,54,15
11,1,54,45,28,21
11,0,0,60,28,21
13,1,54,30,38,15
13,0,60,0,38,15
10,1,28,60,25,21
10,0,54,66,25,21
9,1,79,66,25,21
9,0,0,81,25,21
8,1,25,81,25,21
8,0,82,45,25,21
7,1,54,87,25,21
7,0,79,87,25,21
12,1,60,15,29,15
12,0,92,30,29,15
6,1,89,15,18,15
0,1,98,0,18,15
1,0,0,102,18,15
1,1,18,102,18,15
2,0,36,102,18,15
2,1,104,66,18,15
3,1,104,87,18,15
4,0,104,102,18,15
4,1,107,15,18,15
5,0,107,45,18,15
5,1,54,108,18,15
6,0,79,108,18,15
3,0,0,117,18,15
0,0,36,117,18,15
