i,x,y,w,h
0,0,0,2,1
1,4,0,11,6
2,17,0,16,6
3,35,0,9,7
4,46,0,7,6
5,55,0,9,8
6,66,0,17,7
7,85,0,8,6
8,95,0,12,6
9,109,0,8,7
10,119,0,1,1
11,122,0,8,7
12,132,0,1,1
13,135,0,2,1
14,139,0,6,7
15,147,0,7,7
16,156,0,8,6
17,166,0,8,8
18,176,0,6,6
19,184,0,6,8
20,192,0,17,5
21,211,0,2,2
22,215,0,7,6
23,224,0,7,6
24,233,0,7,6
25,242,0,7,8
26,0,9,7,6
27,9,9,7,8
28,18,9,7,8
29,27,9,7,8
30,36,9,7,8
31,45,9,7,7
32,54,9,3,8
33,59,9,2,6
34,63,9,4,7
35,69,9,6,6
36,77,9,5,7
37,84,9,6,6
38,92,9,5,6
39,99,9,3,5
40,104,9,4,6
41,110,9,4,6
42,116,9,6,6
43,124,9,4,6
44,130,9,3,7
45,135,9,4,4
46,141,9,2,6
47,145,9,6,6
48,153,9,5,6
49,160,9,5,6
50,167,9,5,6
51,174,9,5,6
52,181,9,5,6
53,188,9,5,6
54,195,9,5,6
55,202,9,5,6
56,209,9,5,6
57,216,9,5,6
58,223,9,2,5
59,227,9,3,9
60,232,9,4,6
61,238,9,4,6
62,244,9,4,6
63,250,9,4,6
64,0,18,5,7
65,7,18,5,6
66,14,18,5,6
67,21,18,5,6
68,28,18,5,6
69,35,18,5,6
70,42,18,5,6
71,49,18,5,6
72,56,18,5,6
73,63,18,4,6
74,69,18,5,6
75,76,18,5,6
76,83,18,5,6
77,90,18,6,6
78,98,18,6,6
79,106,18,5,6
80,113,18,5,6
81,120,18,5,7
82,127,18,5,6
83,134,18,5,6
84,141,18,6,6
85,149,18,5,6
86,156,18,6,6
87,164,18,6,6
88,172,18,6,8
89,180,18,6,6
90,188,18,6,6
91,196,18,3,6
92,201,18,6,6
93,209,18,3,6
94,214,18,4,7
95,220,18,4,6
96,226,18,3,7
97,231,18,6,6
98,239,18,5,6
99,246,18,4,6
100,0,27,5,6
101,7,27,4,6
102,13,27,4,6
103,19,27,5,7
104,26,27,5,6
105,33,27,2,6
106,37,27,4,7
107,43,27,4,6
108,49,27,2,6
109,53,27,6,6
110,61,27,5,6
111,68,27,5,6
112,75,27,5,7
113,82,27,5,7
114,89,27,5,6
115,96,27,5,6
116,103,27,4,6
117,109,27,6,6
118,117,27,6,6
119,125,27,6,6
120,133,27,5,6
121,140,27,5,7
122,147,27,5,6
123,154,27,4,6
124,160,27,2,6
125,164,27,4,6
126,170,27,5,5
127,177,27,1,1
