loop,cel,x,y,w,h
1,1,0,0,139,55
1,9,0,55,111,46
1,8,0,101,108,41
4,9,108,101,89,40
4,0,111,55,89,40
4,1,139,0,89,40
4,2,108,141,89,40
4,3,0,142,89,40
4,4,108,181,89,40
4,8,0,182,89,40
4,5,197,101,89,40
4,6,197,141,89,40
4,7,197,181,89,40
1,13,200,55,94,33
1,12,197,221,98,27
1,7,108,221,79,34
1,14,0,222,72,38
1,5,228,0,58,51
1,15,197,248,60,43
1,11,108,255,68,32
1,6,257,248,56,42
1,4,0,260,37,52
3,15,37,260,34,52
1,10,108,287,54,29
1,3,71,260,26,52
1,2,286,0,20,53
2,11,72,222,31,38
2,10,286,141,31,35
3,14,306,0,15,49
2,12,286,181,31,32
3,13,162,287,15,47
3,12,177,287,15,44
3,11,257,290,15,44
3,10,272,290,15,44
3,9,287,290,12,44
3,8,97,260,9,44
2,9,286,101,25,23
0,0,89,142,16,17
2,13,139,40,13,11
2,8,152,40,13,11
2,15,89,159,8,8
2,4,97,159,8,8
2,3,165,40,8,8
2,2,89,167,8,8
2,1,97,167,8,8
2,5,173,40,8,8
2,7,181,40,8,8
0,1,89,182,8,8
2,6,97,182,8,8
3,1,111,95,1,1
3,7,111,96,1,1
3,2,111,97,1,1
3,0,111,98,1,1
3,5,111,99,1,1
3,3,111,100,1,1
3,6,112,95,1,1
2,0,112,96,1,1
1,0,112,97,1,1
2,14,112,98,1,1
3,4,112,99,1,1
