loop,cel,x,y,w,h
1,5,0,0,23,16
6,6,0,16,20,16
1,9,20,16,20,16
6,2,23,0,20,16
6,5,0,32,20,16
6,4,20,32,20,16
3,1,40,16,20,16
3,2,40,32,20,16
3,3,43,0,20,16
3,4,0,48,20,16
4,0,40,48,20,16
4,2,20,48,20,16
4,3,60,16,20,16
4,4,60,32,20,16
4,5,60,48,20,16
4,6,63,0,20,16
6,0,20,64,20,16
6,1,0,64,20,16
4,1,60,64,20,16
1,8,40,64,20,16
1,10,0,80,20,16
1,6,80,32,20,16
0,1,20,80,20,16
0,2,40,80,20,16
0,3,80,64,20,16
0,4,60,80,20,16
0,5,80,48,20,16
1,7,80,16,20,16
0,7,80,80,20,16
0,8,83,0,20,16
0,6,40,96,20,16
0,10,60,96,20,16
0,11,20,96,20,16
0,12,0,96,20,16
1,0,80,96,20,16
1,1,100,16,20,16
1,2,100,48,20,16
1,3,100,80,20,16
1,4,100,64,20,16
0,9,100,32,20,16
6,3,100,96,20,16
5,3,103,0,5,16
5,4,108,0,5,16
5,5,113,0,5,16
5,0,0,112,1,5
5,1,100,112,1,5
5,2,1,112,1,5
2,0,101,112,2,1
3,0,20,112,2,1
0,0,2,112,1,1
