loop,cel,x,y,w,h
2,1,0,0,50,20
2,3,0,20,50,20
2,2,0,40,50,20
2,0,50,0,50,20
9,4,50,40,46,14
9,5,50,20,46,13
9,14,50,54,45,13
9,3,0,60,47,12
9,2,50,67,49,11
9,15,0,72,44,12
0,2,50,78,23,22
9,6,73,78,46,11
0,1,0,84,23,22
9,13,73,89,45,11
9,12,95,54,48,10
9,1,96,40,47,10
0,3,23,84,22,21
9,7,96,20,46,10
9,0,96,30,46,10
9,11,99,67,47,9
0,0,73,100,20,21
9,8,100,0,46,9
9,10,93,100,46,9
9,9,100,9,46,9
3,3,50,100,17,21
3,2,0,106,17,21
3,0,17,106,17,21
3,5,93,109,17,21
11,3,110,109,19,15
6,5,73,121,20,14
6,2,50,121,20,14
6,7,110,124,20,14
6,8,17,127,20,14
6,9,129,109,20,14
3,4,34,106,15,17
3,1,0,127,15,17
11,5,118,89,25,9
1,0,119,78,20,10
1,2,130,124,20,10
1,1,130,134,20,10
11,4,73,135,20,10
1,3,50,135,20,10
4,2,93,130,15,13
4,0,110,138,15,13
4,3,17,141,15,13
4,1,32,141,15,13
11,6,139,78,15,10
7,0,50,33,21,7
11,7,37,127,11,11
8,4,142,20,10,11
8,3,143,54,10,11
8,2,93,143,9,12
5,0,102,143,8,12
5,2,143,40,8,12
5,3,0,144,8,12
5,1,130,144,8,12
8,1,8,144,8,12
8,0,138,144,8,12
11,2,71,33,13,6
12,3,84,33,11,5
12,5,96,50,11,4
12,2,95,64,11,3
12,4,106,64,11,3
12,1,107,50,8,4
11,1,117,64,9,3
10,6,44,72,4,3
12,0,44,75,6,2
10,2,45,84,4,3
10,1,44,77,4,3
10,0,44,80,4,3
10,4,45,87,4,3
10,5,45,90,4,3
10,7,84,38,4,2
10,3,88,38,4,2
6,0,47,60,1,1
12,7,48,60,1,1
12,8,49,60,1,1
12,9,47,61,1,1
12,10,48,61,1,1
12,11,49,61,1,1
12,6,47,62,1,1
11,15,48,62,1,1
11,9,49,62,1,1
11,13,47,63,1,1
11,12,48,63,1,1
11,11,49,63,1,1
11,10,47,64,1,1
6,1,48,64,1,1
11,8,49,64,1,1
12,12,47,65,1,1
4,4,48,65,1,1
6,6,49,65,1,1
11,0,47,66,1,1
6,4,48,66,1,1
6,3,49,66,1,1
11,14,47,67,1,1
12,13,48,67,1,1
