i,x,y,w,h
0,0,0,2,1
1,4,0,11,6
2,17,0,16,6
3,35,0,9,6
4,46,0,7,6
5,55,0,9,6
6,66,0,24,6
7,92,0,8,6
8,102,0,12,6
9,116,0,9,6
10,127,0,2,1
11,131,0,6,8
12,139,0,2,1
13,143,0,2,1
14,147,0,6,8
15,155,0,6,7
16,163,0,6,8
17,171,0,6,8
18,179,0,6,8
19,187,0,6,8
20,195,0,20,9
21,217,0,2,2
22,221,0,6,8
23,229,0,6,8
24,237,0,6,8
25,245,0,6,8
26,0,11,6,8
27,8,11,6,8
28,16,11,6,8
29,24,11,6,8
30,32,11,6,8
31,40,11,6,8
32,48,11,6,8
33,56,11,6,7
34,64,11,6,7
35,72,11,6,7
36,80,11,6,7
37,88,11,6,7
38,96,11,6,7
39,104,11,6,7
40,112,11,6,7
41,120,11,6,7
42,128,11,6,5
43,136,11,6,6
44,144,11,6,9
45,152,11,6,4
46,160,11,6,7
47,168,11,6,8
48,176,11,6,8
49,184,11,6,7
50,192,11,6,8
51,200,11,6,8
52,208,11,6,8
53,216,11,6,8
54,224,11,6,8
55,232,11,6,8
56,240,11,6,8
57,248,11,6,8
58,0,22,6,7
59,8,22,6,9
60,16,22,6,7
61,24,22,6,7
62,32,22,6,7
63,40,22,6,7
64,48,22,6,8
65,56,22,6,8
66,64,22,6,8
67,72,22,6,8
68,80,22,6,8
69,88,22,6,8
70,96,22,6,8
71,104,22,6,8
72,112,22,6,8
73,120,22,6,8
74,128,22,6,8
75,136,22,6,8
76,144,22,6,8
77,152,22,6,8
78,160,22,6,8
79,168,22,6,8
80,176,22,6,8
81,184,22,6,8
82,192,22,6,8
83,200,22,6,8
84,208,22,6,8
85,216,22,6,8
86,224,22,6,8
87,232,22,6,8
88,240,22,6,8
89,248,22,6,8
90,0,33,6,8
91,8,33,6,7
92,16,33,6,7
93,24,33,6,7
94,32,33,6,7
95,40,33,6,7
96,48,33,6,7
97,56,33,6,8
98,64,33,6,8
99,72,33,6,8
100,80,33,6,8
101,88,33,6,8
102,96,33,6,8
103,104,33,6,9
104,112,33,6,8
105,120,33,6,8
106,128,33,6,8
107,136,33,6,8
108,144,33,6,8
109,152,33,6,8
110,160,33,6,8
111,168,33,6,8
112,176,33,6,9
113,184,33,6,9
114,192,33,6,8
115,200,33,6,8
116,208,33,6,8
117,216,33,6,8
118,224,33,6,8
119,232,33,6,8
120,240,33,6,8
121,248,33,6,9
122,0,44,6,8
123,8,44,6,7
124,16,44,6,8
125,24,44,6,7
126,32,44,6,7
127,40,44,6,1
