loop,cel,x,y,w,h
0,0,0,0,21,11
0,15,0,11,21,11
0,14,21,0,21,11
0,13,21,11,21,11
0,11,0,22,21,11
0,10,21,22,21,11
0,9,42,0,21,11
0,8,0,33,21,11
0,12,21,33,21,11
0,6,42,11,21,11
0,5,42,22,21,11
0,4,42,33,21,11
0,3,21,44,21,11
0,2,42,44,21,11
0,1,42,55,21,11
0,7,21,55,21,11
1,5,63,55,8,12
2,6,63,11,8,11
1,4,63,33,8,11
2,3,0,44,6,14
2,5,6,44,7,12
2,4,13,44,6,14
2,7,0,58,8,10
2,2,8,58,6,11
2,8,63,44,8,8
1,6,14,58,7,9
1,3,63,22,6,10
1,7,63,0,6,7
1,2,21,66,6,7
2,10,42,66,6,5
1,1,27,66,6,5
1,9,48,66,7,4
2,9,63,7,6,4
1,8,33,66,6,4
2,1,63,52,6,3
2,0,55,66,5,3
1,0,6,56,5,2
1,10,19,44,1,1
1,15,20,44,1,1
1,14,19,45,1,1
1,13,20,45,1,1
1,12,19,46,1,1
1,11,20,46,1,1
2,11,19,47,1,1
2,12,20,47,1,1
