i,x,y,w,h
0,0,0,8,8
1,10,0,10,8
2,22,0,11,6
3,35,0,16,6
4,53,0,9,8
5,64,0,7,8
6,73,0,2,1
7,77,0,8,8
8,87,0,8,6
9,97,0,13,1
10,112,0,2,1
11,116,0,2,1
12,120,0,2,1
13,124,0,2,1
14,128,0,2,1
15,132,0,2,1
16,136,0,7,8
17,145,0,7,8
18,154,0,7,8
19,163,0,2,1
20,167,0,2,1
21,171,0,2,1
22,175,0,7,8
23,184,0,2,1
24,188,0,7,8
25,197,0,7,8
26,206,0,9,8
27,217,0,9,8
28,228,0,5,11
29,235,0,9,8
30,246,0,8,8
31,0,12,8,8
32,10,12,4,1
33,16,12,3,8
34,21,12,4,8
35,27,12,7,8
36,36,12,6,9
37,44,12,10,8
38,56,12,9,8
39,67,12,3,8
40,72,12,4,9
41,78,12,4,9
42,84,12,7,6
43,93,12,6,8
44,101,12,3,9
45,106,12,8,8
46,116,12,2,9
47,120,12,8,8
48,130,12,7,8
49,139,12,4,8
50,145,12,6,8
51,153,12,6,8
52,161,12,6,8
53,169,12,6,8
54,177,12,6,8
55,185,12,6,8
56,193,12,6,8
57,201,12,6,8
58,209,12,3,8
59,214,12,4,9
60,220,12,6,9
61,228,12,7,8
62,237,12,6,9
63,245,12,6,8
64,0,24,11,10
65,13,24,8,8
66,23,24,7,8
67,32,24,8,8
68,42,24,7,8
69,51,24,7,8
70,60,24,7,8
71,69,24,9,8
72,80,24,9,8
73,91,24,4,8
74,97,24,6,8
75,105,24,9,8
76,116,24,7,8
77,125,24,10,8
78,137,24,9,8
79,148,24,8,8
80,158,24,7,8
81,167,24,8,10
82,177,24,8,8
83,187,24,6,8
84,195,24,8,8
85,205,24,8,8
86,215,24,8,8
87,225,24,12,8
88,239,24,9,8
89,0,36,8,8
90,10,36,7,8
91,19,36,3,8
92,24,36,8,8
93,34,36,4,8
94,40,36,7,8
95,49,36,8,8
96,59,36,3,8
97,64,36,6,8
98,72,36,6,8
99,80,36,5,8
100,87,36,6,8
101,95,36,5,8
102,102,36,5,8
103,109,36,6,10
104,117,36,7,8
105,126,36,4,8
106,132,36,3,9
107,137,36,7,8
108,146,36,4,8
109,152,36,10,8
110,164,36,7,8
111,173,36,5,8
112,180,36,6,10
113,188,36,6,10
114,196,36,5,8
115,203,36,5,8
116,210,36,4,8
117,216,36,7,8
118,225,36,6,8
119,233,36,8,8
120,243,36,6,8
121,0,48,8,10
122,10,48,6,8
123,18,48,5,9
124,25,48,2,8
125,29,48,5,9
126,36,48,7,8
127,45,48,1,1
