i,x,y,w,h
0,0,0,2,1
1,4,0,7,7
2,13,0,12,7
3,27,0,17,7
4,46,0,7,8
5,55,0,6,8
6,63,0,2,1
7,67,0,8,6
8,77,0,12,6
9,91,0,2,1
10,95,0,2,1
11,99,0,2,1
12,103,0,2,1
13,107,0,2,1
14,111,0,2,1
15,115,0,2,1
16,119,0,2,1
17,123,0,2,1
18,127,0,2,1
19,131,0,2,1
20,135,0,2,1
21,139,0,2,1
22,143,0,2,1
23,147,0,2,1
24,151,0,2,1
25,155,0,2,1
26,159,0,2,1
27,163,0,2,1
28,167,0,2,1
29,171,0,2,1
30,175,0,2,1
31,179,0,2,1
32,183,0,6,6
33,191,0,6,6
34,199,0,6,6
35,207,0,6,6
36,215,0,6,7
37,223,0,6,6
38,231,0,5,7
39,238,0,6,6
40,246,0,6,6
41,0,11,6,6
42,8,11,6,6
43,16,11,6,6
44,24,11,6,6
45,32,11,6,6
46,40,11,6,6
47,48,11,6,6
48,56,11,6,6
49,64,11,6,6
50,72,11,6,6
51,80,11,6,6
52,88,11,6,6
53,96,11,6,6
54,104,11,6,6
55,112,11,6,6
56,120,11,6,6
57,128,11,6,6
58,136,11,6,6
59,144,11,6,6
60,152,11,6,6
61,160,11,6,6
62,168,11,6,6
63,176,11,6,6
64,184,11,6,6
65,192,11,6,6
66,200,11,6,6
67,208,11,6,6
68,216,11,6,6
69,224,11,6,6
70,232,11,6,6
71,240,11,6,6
72,248,11,6,6
73,0,22,6,6
74,8,22,6,6
75,16,22,6,6
76,24,22,6,6
77,32,22,6,6
78,40,22,6,6
79,48,22,6,6
80,56,22,6,6
81,64,22,6,7
82,72,22,6,6
83,80,22,6,6
84,88,22,6,6
85,96,22,6,6
86,104,22,6,6
87,112,22,6,6
88,120,22,6,6
89,128,22,6,6
90,136,22,6,6
91,144,22,6,6
92,152,22,6,6
93,160,22,6,6
94,168,22,6,6
95,176,22,6,6
96,184,22,6,6
97,192,22,6,6
98,200,22,6,6
99,208,22,6,6
100,216,22,6,6
101,224,22,6,6
102,232,22,6,6
103,240,22,6,8
104,248,22,6,6
105,0,33,6,6
106,8,33,6,8
107,16,33,6,6
108,24,33,6,6
109,32,33,6,6
110,40,33,6,6
111,48,33,6,6
112,56,33,6,8
113,64,33,6,8
114,72,33,6,6
115,80,33,6,6
116,88,33,6,6
117,96,33,6,6
118,104,33,6,6
119,112,33,6,6
120,120,33,6,6
121,128,33,6,8
122,136,33,6,6
123,144,33,4,7
124,150,33,3,7
125,155,33,4,7
126,161,33,5,7
127,168,33,2,1
