i,x,y,w,h
0,0,0,2,1
1,4,0,11,6
2,17,0,16,6
3,35,0,9,6
4,46,0,7,6
5,55,0,2,1
6,59,0,4,5
7,65,0,8,6
8,75,0,12,6
9,89,0,2,1
10,93,0,2,1
11,97,0,4,6
12,103,0,2,1
13,107,0,2,1
14,111,0,6,7
15,119,0,6,6
16,127,0,9,8
17,138,0,9,8
18,149,0,7,8
19,158,0,7,8
20,167,0,20,9
21,189,0,2,2
22,193,0,7,8
23,202,0,7,8
24,211,0,7,8
25,220,0,7,8
26,229,0,7,8
27,238,0,7,8
28,247,0,7,8
29,0,9,7,8
30,9,9,7,8
31,18,9,7,8
32,27,9,4,8
33,33,9,2,5
34,37,9,5,7
35,44,9,6,7
36,52,9,4,7
37,58,9,6,7
38,66,9,4,7
39,72,9,3,7
40,77,9,4,7
41,83,9,4,7
42,89,9,6,5
43,97,9,4,6
44,103,9,4,5
45,109,9,4,4
46,115,9,3,5
47,120,9,5,7
48,127,9,4,5
49,133,9,4,5
50,139,9,4,5
51,145,9,4,5
52,151,9,4,5
53,157,9,4,5
54,163,9,4,5
55,169,9,4,5
56,175,9,4,5
57,181,9,4,5
58,187,9,2,5
59,191,9,3,7
60,196,9,4,7
61,202,9,4,7
62,208,9,4,7
63,214,9,4,5
64,220,9,6,7
65,228,9,4,5
66,234,9,4,5
67,240,9,4,5
68,246,9,4,5
69,0,18,4,5
70,6,18,4,5
71,12,18,4,5
72,18,18,4,5
73,24,18,4,5
74,30,18,4,5
75,36,18,4,5
76,42,18,4,5
77,48,18,6,5
78,56,18,4,5
79,62,18,4,5
80,68,18,4,5
81,74,18,4,6
82,80,18,4,5
83,86,18,4,5
84,92,18,4,5
85,98,18,4,5
86,104,18,4,5
87,110,18,6,5
88,118,18,4,5
89,124,18,4,5
90,130,18,4,5
91,136,18,3,7
92,141,18,5,7
93,148,18,3,7
94,153,18,4,7
95,159,18,4,7
96,165,18,3,7
97,170,18,4,5
98,176,18,4,5
99,182,18,4,5
100,188,18,4,5
101,194,18,4,5
102,200,18,4,5
103,206,18,4,5
104,212,18,4,5
105,218,18,4,5
106,224,18,4,5
107,230,18,4,5
108,236,18,4,5
109,242,18,6,5
110,250,18,4,5
111,0,27,4,5
112,6,27,4,5
113,12,27,4,6
114,18,27,4,5
115,24,27,4,5
116,30,27,4,5
117,36,27,4,5
118,42,27,4,5
119,48,27,6,5
120,56,27,4,5
121,62,27,4,6
122,68,27,4,5
123,74,27,4,7
124,80,27,3,7
125,85,27,4,7
126,91,27,5,7
127,98,27,2,1
