loop,cel,x,y,w,h
0,0,0,0,103,43
9,6,0,43,88,16
9,4,0,59,88,16
9,5,0,75,88,16
9,7,88,43,95,9
9,8,88,59,92,9
9,10,88,75,80,16
9,9,0,91,77,16
9,3,88,91,75,16
1,0,103,0,52,32
1,1,0,107,51,32
9,1,88,107,74,9
9,2,88,116,72,9
10,1,88,125,67,14
10,0,0,139,67,14
1,2,88,139,59,10
9,0,103,32,39,9
11,2,51,107,24,24
12,2,147,139,24,24
12,3,88,149,27,21
11,3,115,149,26,21
12,1,0,153,20,27
11,1,20,153,20,26
12,0,40,153,16,28
11,4,56,153,28,16
12,4,155,0,28,16
5,3,155,125,33,10
6,1,155,16,33,10
5,0,155,26,33,10
6,0,163,91,33,10
5,2,147,163,33,10
5,1,147,173,33,10
11,0,56,169,15,27
12,5,168,75,27,14
11,5,88,170,27,14
7,0,77,91,7,11
7,1,75,107,7,11
8,0,75,118,7,11
8,1,67,139,7,11
3,3,82,107,5,10
3,5,82,118,5,10
3,6,75,129,5,10
3,7,80,129,5,10
4,1,74,139,5,10
3,9,79,139,5,10
4,0,142,32,5,10
3,1,147,32,5,10
3,8,141,149,5,10
3,2,141,159,5,10
2,1,71,169,5,10
2,4,76,169,5,10
2,0,81,169,5,10
3,0,115,170,5,10
2,2,120,170,5,10
2,8,125,170,5,10
2,3,130,170,5,10
2,5,135,170,5,10
2,6,140,170,5,10
2,7,171,139,5,10
2,9,171,149,5,10
3,4,176,139,5,10
