i,x,y,w,h
0,0,0,2,1
1,4,0,2,1
2,8,0,2,1
3,12,0,2,1
4,16,0,2,1
5,20,0,2,1
6,24,0,2,1
7,28,0,2,1
8,32,0,2,1
9,36,0,14,5
10,52,0,2,1
11,56,0,2,1
12,60,0,2,1
13,64,0,2,1
14,68,0,2,1
15,72,0,2,1
16,76,0,2,1
17,80,0,2,1
18,84,0,2,1
19,88,0,2,1
20,92,0,2,1
21,96,0,2,1
22,100,0,2,1
23,104,0,6,8
24,112,0,13,8
25,127,0,13,8
26,142,0,15,8
27,159,0,15,8
28,176,0,15,8
29,193,0,11,8
30,206,0,11,8
31,219,0,11,8
32,232,0,4,7
33,238,0,2,7
34,242,0,5,7
35,249,0,6,7
36,0,10,4,7
37,6,10,6,7
38,14,10,4,7
39,20,10,3,7
40,25,10,4,7
41,31,10,4,7
42,37,10,6,5
43,45,10,4,8
44,51,10,3,7
45,56,10,5,7
46,63,10,4,7
47,69,10,5,7
48,76,10,5,7
49,83,10,5,7
50,90,10,5,7
51,97,10,5,7
52,104,10,5,7
53,111,10,5,7
54,118,10,5,7
55,125,10,5,7
56,132,10,5,7
57,139,10,5,7
58,146,10,2,7
59,150,10,3,7
60,155,10,4,7
61,161,10,4,7
62,167,10,4,7
63,173,10,5,7
64,180,10,8,7
65,190,10,5,7
66,197,10,5,7
67,204,10,5,7
68,211,10,5,7
69,218,10,5,7
70,225,10,5,7
71,232,10,5,7
72,239,10,5,7
73,246,10,4,7
74,0,20,5,7
75,7,20,5,7
76,14,20,5,7
77,21,20,6,7
78,29,20,6,7
79,37,20,5,7
80,44,20,5,7
81,51,20,6,7
82,59,20,5,7
83,66,20,5,7
84,73,20,6,7
85,81,20,5,7
86,88,20,6,7
87,96,20,6,7
88,104,20,6,7
89,112,20,6,7
90,120,20,5,7
91,127,20,3,7
92,132,20,5,7
93,139,20,3,7
94,144,20,4,7
95,150,20,4,7
96,156,20,3,7
97,161,20,5,7
98,168,20,5,7
99,175,20,5,7
100,182,20,5,7
101,189,20,5,7
102,196,20,5,7
103,203,20,5,7
104,210,20,5,7
105,217,20,2,7
106,221,20,4,7
107,227,20,4,7
108,233,20,2,7
109,237,20,6,7
110,245,20,5,7
111,0,30,5,7
112,7,30,5,7
113,14,30,5,7
114,21,30,5,7
115,28,30,5,7
116,35,30,4,7
117,41,30,5,7
118,48,30,6,7
119,56,30,6,7
120,64,30,5,7
121,71,30,5,7
122,78,30,5,8
123,85,30,4,7
124,91,30,3,7
125,96,30,4,7
126,102,30,5,7
127,109,30,9,8
