loop,cel,x,y,w,h
3,6,0,0,111,52
0,0,0,52,65,48
3,8,65,52,56,7
3,7,65,59,53,7
2,3,65,66,39,45
2,2,0,100,37,44
2,1,104,66,44,26
2,0,104,92,35,43
4,15,111,0,30,7
3,4,37,100,7,10
3,5,44,100,7,10
3,1,51,100,7,10
4,4,37,110,10,7
3,0,58,100,7,10
4,2,47,110,10,7
4,3,65,111,10,7
3,2,111,7,7,10
3,3,111,17,7,10
4,1,75,111,10,7
1,0,57,110,6,6
4,12,63,110,2,2
4,11,85,111,2,2
4,10,111,27,2,2
4,9,87,111,2,2
4,6,111,29,2,2
4,7,89,111,2,2
4,5,111,31,2,2
4,14,91,111,2,2
4,13,111,33,2,2
4,8,93,111,2,2
4,0,111,35,2,2
