loop,cel,x,y,w,h
9,7,0,0,27,27
2,0,0,27,45,16
2,3,27,0,44,16
2,2,0,43,44,16
9,8,44,43,30,23
2,1,45,27,43,16
11,4,0,59,44,14
11,14,44,66,44,13
11,5,71,0,44,13
9,9,74,43,30,18
11,15,71,13,44,12
11,3,0,73,44,12
0,1,44,79,23,22
0,2,67,79,23,22
11,2,88,27,46,11
11,6,88,66,45,11
11,13,27,16,44,11
0,3,0,85,22,21
11,12,90,79,46,10
11,0,90,89,46,10
11,7,90,99,45,10
11,1,104,43,45,10
9,6,44,101,16,28
9,10,0,106,31,14
0,0,22,85,20,21
11,11,104,53,45,9
11,8,90,109,44,9
11,9,115,0,44,9
11,10,115,9,44,9
15,4,67,101,13,30
15,3,90,118,15,26
9,12,105,118,34,11
9,11,0,120,33,11
6,9,44,129,20,18
6,2,105,129,20,18
6,7,125,129,20,18
6,3,67,131,20,18
6,8,0,131,20,18
3,5,145,129,17,21
3,3,44,147,17,21
3,2,125,147,17,21
3,0,105,147,17,21
15,1,20,131,22,16
9,5,134,27,21,16
15,2,149,43,18,18
15,0,67,149,23,14
9,3,0,149,21,15
15,5,145,150,19,16
9,4,159,0,19,16
15,6,133,66,22,13
9,2,21,149,22,13
15,7,139,118,24,11
9,1,155,66,24,11
3,4,90,144,15,17
3,1,162,129,15,17
15,8,135,99,24,10
9,0,136,79,24,10
13,6,80,101,10,22
13,11,90,161,9,24
4,0,155,27,13,16
4,2,0,164,13,16
4,1,164,150,13,16
4,3,13,164,13,16
13,8,26,164,9,23
13,1,145,166,9,23
1,0,136,89,20,10
1,1,159,99,20,10
1,2,156,89,20,10
1,3,160,79,20,10
13,4,164,166,9,22
13,5,154,166,9,22
13,7,167,43,9,22
13,10,67,163,9,22
13,3,76,163,9,22
13,2,35,164,9,22
13,0,44,168,9,21
13,12,105,168,9,21
13,9,53,168,9,21
7,0,115,18,21,7
8,4,31,106,10,11
8,3,33,120,10,11
8,2,168,27,9,12
8,1,125,168,8,12
8,0,133,168,8,12
5,0,60,101,7,11
5,3,60,112,7,11
5,2,159,16,7,11
5,1,163,118,7,11
14,3,61,147,6,10
14,1,99,161,6,10
14,2,61,157,6,10
14,4,166,16,6,10
14,0,114,168,6,10
14,6,173,166,6,10
14,7,170,118,6,10
14,8,177,129,6,10
14,9,99,171,6,10
14,10,172,16,6,10
14,11,176,89,6,10
14,12,173,176,6,10
14,5,176,118,6,10
10,2,80,123,8,7
10,7,134,109,8,7
10,3,74,61,13,4
10,8,87,61,8,4
10,1,60,123,5,6
10,6,88,38,5,5
10,13,136,18,4,6
10,5,95,61,4,5
10,12,93,38,4,4
12,6,97,38,4,3
12,7,104,62,4,3
10,4,99,61,4,3
12,5,101,38,4,3
12,3,105,38,4,3
12,2,108,62,4,3
12,1,109,38,4,3
12,4,71,25,4,2
12,0,75,25,4,2
12,8,79,25,4,2
10,14,42,85,2,3
10,11,42,88,1,3
10,9,74,65,1,1
10,15,87,65,1,1
6,1,75,65,1,1
6,5,88,77,1,1
6,4,76,65,1,1
6,0,83,25,1,1
10,0,77,65,1,1
6,6,83,26,1,1
10,10,78,65,1,1
