loop,cel,x,y,w,h
0,10,0,0,8,43
0,14,8,0,8,43
0,13,16,0,8,43
0,12,24,0,8,43
0,11,32,0,8,43
0,9,40,0,8,43
0,7,0,43,8,43
0,8,24,43,8,43
0,5,32,43,8,43
0,4,40,43,8,43
0,3,16,43,8,43
0,2,8,43,8,43
0,1,48,0,8,43
0,6,48,43,8,43
2,6,56,0,7,43
2,8,56,43,7,43
2,5,63,43,7,43
2,7,70,43,7,43
2,3,77,43,7,43
2,9,63,0,7,43
2,4,84,43,7,43
2,10,70,0,7,43
2,1,77,0,7,43
2,12,84,0,7,43
2,13,91,0,7,43
2,14,91,43,7,43
2,2,98,43,7,43
2,11,98,0,7,43
4,13,8,86,6,8
4,11,32,86,7,5
4,4,48,86,6,5
4,12,63,86,5,6
4,14,77,86,6,5
4,6,84,86,7,4
4,5,70,86,5,5
4,1,56,86,6,4
4,10,16,86,6,4
4,2,24,86,6,4
4,3,40,86,6,4
4,8,0,86,6,4
4,9,84,90,4,4
1,14,24,90,3,4
1,11,0,90,4,3
3,2,88,90,4,3
4,7,40,90,5,2
1,5,27,90,3,3
3,1,4,90,3,3
1,7,16,90,3,3
1,8,19,90,3,3
3,4,56,90,3,3
3,5,59,90,3,3
1,9,32,91,3,3
3,14,48,91,3,3
1,0,77,91,7,1
4,0,91,86,7,1
0,0,91,87,7,1
3,0,91,88,7,1
2,0,91,89,7,1
1,13,45,90,3,2
1,12,14,86,2,3
1,10,54,86,2,3
1,4,35,91,3,2
3,10,51,91,3,2
3,11,70,91,3,2
3,6,73,91,3,2
3,7,77,92,3,2
3,9,63,92,3,2
3,13,22,86,2,3
3,3,80,92,3,2
3,8,66,92,3,2
1,2,68,86,2,2
1,3,6,86,2,2
1,6,46,86,2,2
1,1,30,86,2,2
3,12,75,86,2,1
