i,x,y,w,h
0,0,0,2,1
1,4,0,11,6
2,17,0,16,6
3,35,0,9,6
4,46,0,7,6
5,55,0,9,6
6,66,0,17,6
7,85,0,8,6
8,95,0,12,6
9,109,0,9,6
10,120,0,2,1
11,124,0,8,6
12,134,0,2,1
13,138,0,2,1
14,142,0,6,7
15,150,0,7,7
16,159,0,10,6
17,171,0,9,8
18,182,0,7,6
19,191,0,7,8
20,200,0,20,9
21,222,0,2,2
22,226,0,7,6
23,235,0,7,6
24,244,0,7,6
25,0,9,7,8
26,9,9,7,6
27,18,9,7,8
28,27,9,7,8
29,36,9,7,8
30,45,9,7,8
31,54,9,7,7
32,63,9,6,8
33,71,9,6,6
34,79,9,6,7
35,87,9,6,6
36,95,9,6,7
37,103,9,6,6
38,111,9,6,6
39,119,9,6,5
40,127,9,6,6
41,135,9,6,6
42,143,9,6,6
43,151,9,6,6
44,159,9,6,6
45,167,9,6,4
46,175,9,6,6
47,183,9,6,6
48,191,9,6,6
49,199,9,6,6
50,207,9,6,6
51,215,9,6,6
52,223,9,6,6
53,231,9,6,6
54,239,9,6,6
55,247,9,6,6
56,0,18,6,6
57,8,18,6,6
58,16,18,6,5
59,24,18,6,6
60,32,18,6,6
61,40,18,6,6
62,48,18,6,6
63,56,18,6,6
64,64,18,6,6
65,72,18,6,6
66,80,18,6,6
67,88,18,6,6
68,96,18,6,6
69,104,18,6,6
70,112,18,6,6
71,120,18,6,6
72,128,18,6,6
73,136,18,6,6
74,144,18,6,6
75,152,18,6,6
76,160,18,6,6
77,168,18,6,6
78,176,18,6,6
79,184,18,6,6
80,192,18,6,6
81,200,18,6,6
82,208,18,6,6
83,216,18,6,6
84,224,18,6,6
85,232,18,6,6
86,240,18,6,6
87,248,18,6,6
88,0,27,6,7
89,8,27,6,6
90,16,27,6,6
91,24,27,6,5
92,32,27,6,5
93,40,27,6,5
94,48,27,6,7
95,56,27,6,6
96,64,27,6,7
97,72,27,6,6
98,80,27,6,6
99,88,27,6,6
100,96,27,6,6
101,104,27,6,6
102,112,27,6,6
103,120,27,6,7
104,128,27,6,6
105,136,27,6,6
106,144,27,6,7
107,152,27,6,6
108,160,27,6,6
109,168,27,6,6
110,176,27,6,6
111,184,27,6,6
112,192,27,6,6
113,200,27,6,6
114,208,27,6,6
115,216,27,6,6
116,224,27,6,6
117,232,27,6,6
118,240,27,6,6
119,248,27,6,6
120,0,36,6,6
121,8,36,6,6
122,16,36,6,6
123,24,36,6,5
124,32,36,6,6
125,40,36,6,6
126,48,36,6,5
127,56,36,1,1
