i,x,y,w,h
0,0,0,1,7
1,3,0,8,8
2,13,0,16,6
3,31,0,9,6
4,42,0,7,6
5,51,0,9,6
6,62,0,6,7
7,70,0,8,6
8,80,0,12,6
9,94,0,9,6
10,105,0,1,7
11,108,0,8,9
12,118,0,23,7
13,143,0,1,8
14,146,0,6,8
15,154,0,7,8
16,163,0,9,8
17,174,0,9,8
18,185,0,7,8
19,194,0,7,8
20,203,0,20,9
21,225,0,2,2
22,229,0,7,8
23,238,0,7,8
24,247,0,7,8
25,0,11,7,8
26,9,11,7,8
27,18,11,7,8
28,27,11,7,8
29,36,11,7,8
30,45,11,7,8
31,54,11,7,8
32,63,11,4,8
33,69,11,3,7
34,74,11,5,7
35,81,11,6,7
36,89,11,4,7
37,95,11,6,7
38,103,11,4,7
39,109,11,3,7
40,114,11,4,7
41,120,11,4,7
42,126,11,6,5
43,134,11,4,6
44,140,11,4,9
45,146,11,4,4
46,152,11,3,7
47,157,11,4,8
48,163,11,5,8
49,170,11,5,7
50,177,11,5,8
51,184,11,5,8
52,191,11,5,8
53,198,11,5,8
54,205,11,5,8
55,212,11,5,8
56,219,11,5,8
57,226,11,5,8
58,233,11,3,7
59,238,11,4,9
60,244,11,4,7
61,250,11,4,7
62,0,22,4,7
63,6,22,4,7
64,12,22,8,8
65,22,22,5,8
66,29,22,5,8
67,36,22,5,8
68,43,22,5,8
69,50,22,5,8
70,57,22,5,8
71,64,22,6,8
72,72,22,6,8
73,80,22,4,8
74,86,22,5,8
75,93,22,6,8
76,101,22,5,8
77,108,22,6,8
78,116,22,6,8
79,124,22,5,8
80,131,22,5,8
81,138,22,5,8
82,145,22,5,8
83,152,22,5,8
84,159,22,6,8
85,167,22,5,8
86,174,22,6,8
87,182,22,6,8
88,190,22,6,8
89,198,22,6,8
90,206,22,6,8
91,214,22,3,7
92,219,22,4,7
93,225,22,3,7
94,230,22,4,7
95,236,22,4,7
96,242,22,3,7
97,247,22,6,8
98,0,33,5,8
99,7,33,5,8
100,14,33,6,8
101,22,33,5,8
102,29,33,4,8
103,35,33,5,9
104,42,33,5,8
105,49,33,2,8
106,53,33,4,9
107,59,33,5,8
108,66,33,2,8
109,70,33,8,8
110,80,33,5,8
111,87,33,5,8
112,94,33,5,9
113,101,33,5,9
114,108,33,5,8
115,115,33,5,8
116,122,33,4,8
117,128,33,6,8
118,136,33,6,8
119,144,33,8,8
120,154,33,6,8
121,162,33,5,9
122,169,33,4,8
123,175,33,4,7
124,181,33,3,8
125,186,33,4,7
126,192,33,5,7
127,199,33,1,1
