loop,cel,x,y,w,h
3,9,0,0,19,21
1,11,19,0,19,21
3,11,0,21,19,21
1,9,19,21,19,21
1,7,38,0,19,21
1,5,38,21,19,21
1,1,0,42,19,21
1,3,19,42,19,21
3,3,38,42,19,21
3,5,57,0,19,21
3,7,57,21,19,21
3,1,57,42,19,21
4,2,57,63,20,17
4,3,76,21,20,17
5,1,76,42,20,17
4,4,76,0,20,17
4,5,77,63,20,17
4,1,57,80,20,17
4,6,77,80,20,17
7,5,96,21,20,17
5,2,96,0,20,17
5,5,96,42,20,17
5,4,57,97,20,17
5,6,77,97,20,17
6,1,97,80,20,17
6,2,97,97,20,17
6,3,97,63,20,17
6,4,116,21,20,17
6,5,57,114,20,17
6,6,97,114,20,17
7,1,77,114,20,17
7,2,116,42,20,17
7,3,116,0,20,17
7,4,117,63,20,17
5,3,117,114,20,17
7,6,117,80,20,17
3,6,19,63,18,15
3,8,38,63,18,15
0,1,0,63,18,15
0,2,19,78,18,15
0,3,0,78,18,15
0,4,38,78,18,15
0,5,19,93,18,15
0,6,0,93,18,15
1,0,38,93,18,15
1,2,19,108,18,15
1,4,38,108,18,15
1,6,0,108,18,15
3,10,117,97,18,15
1,10,19,123,18,15
1,8,38,123,18,15
2,1,0,123,18,15
2,2,77,131,18,15
2,3,97,131,18,15
2,4,117,131,18,15
2,5,135,97,18,15
2,6,135,131,18,15
3,0,136,21,18,15
3,2,136,0,18,15
3,4,136,42,18,15
6,0,37,63,1,1
5,0,18,63,1,1
7,0,56,63,1,1
4,0,76,38,1,1
2,0,56,64,1,1
0,0,18,64,1,1
